,,,,,,,,,
ID,Category,Functional / Non-Functional,Requirement Statement,Priority,Story Points,Validation/Rationale,Acceptance Criteria,Progress,Source User Story
"FR-01a 

Added July 1st, 2026",Recommendation Engine,Functional,The system shall detect a shopper's dislike/rejection signal on an item and initiate the recommendation process.,1,5,Author 'Fit Happens' notes 75% of shoppers leave if they must re-dress to find a new size; recommendations keep them engaged.,"A dislike signal on an item triggers recommendation generation within 5 seconds, in 100% of test trials.","Built, part of survey MVP","As a shopper, I want to see item recommendations after rating a product so that I can discover alternatives without leaving the fitting room."
"FR-01b

Added July 1st, 2026",Recommendation Engine,Functional,The system shall generate a set of alternative item recommendations based on the rejected item.,1,13,Author 'Fit Happens' notes 75% of shoppers leave if they must re-dress to find a new size; recommendations keep them engaged.,"System displays up to 3 recommended items per dislike signal, ranked by relevance to the rejected item.",MVP built with mock data,"As a shopper, I want to see item recommendations after rating a product so that I can discover alternatives without leaving the fitting room."
"FR-01c

Added July 1st, 2026",Recommendation Engine,Functional,The system shall filter generated recommendations to include only in-stock items.,1,8,Author 'Fit Happens' notes 75% of shoppers leave if they must re-dress to find a new size; recommendations keep them engaged.,100% of displayed recommendations correspond to items with in-stock status at the time of display.,"Almost complete, using mock inventory","As a shopper, I want to see item recommendations after rating a product so that I can discover alternatives without leaving the fitting room."
"FR-01d 

Added July 1st, 2026",Recommendation Engine,Functional,The system shall display recommended items to the shopper on the fitting-room tablet.,1,8,Author 'Fit Happens' notes 75% of shoppers leave if they must re-dress to find a new size; recommendations keep them engaged.,"Recommendations appear on the tablet within 5 seconds of the dislike signal, with no action required from the shopper.",MVP built with mock data,"As a shopper, I want to see item recommendations after rating a product so that I can discover alternatives without leaving the fitting room."
"FR-02a

Added July 1st, 2026",Session & Conversion Analytics,Functional,The system shall assign a unique session identifier linking a shopper's cart to a specific fitting room and time window.,1,4,"Physical stores currently lose all data between product consideration and final purchase, the core 'black box' gap this project addresses.","Every fitting-room visit generates exactly one session ID, persisting for the duration of that visit.","Not started, needs partner data access","As a retail analyst, I want try-on and purchase data matched per session so that I can calculate true fitting-room conversion rates."
"FR-02b

Added July 1st, 2026",Session & Conversion Analytics,Functional,The system shall match cart data with the corresponding POS purchase record for each session.,1,6,"Physical stores currently lose all data between product consideration and final purchase, the core 'black box' gap this project addresses.",Cart-to-purchase matches are accurate to at least 95% when checked against a manual reconciliation sample.,"Not started, needs partner POS access","As a retail analyst, I want try-on and purchase data matched per session so that I can calculate true fitting-room conversion rates."
"FR-02c

Added July 1st, 2026",Session & Conversion Analytics,Functional,"The system shall calculate fitting-room conversion rate, queryable by item, and date range.",1,3,"Physical stores currently lose all data between product consideration and final purchase, the core 'black box' gap this project addresses.","Conversion rate can be retrieved for any combination of item, date range, and location, matching an independent manual calculation.","Built, logic complete, using mock data","As a retail analyst, I want try-on and purchase data matched per session so that I can calculate true fitting-room conversion rates."
"FR-03

Unchanged Requirement",Data Capture at Try-On,Functional,The system shall register each scanned item to the correct fitting room's digital cart.,1,5,15–19% of customers abandon queues longer than 8 people; any added friction at the fitting-room entrance risks walk-offs.,"Across 10 consecutive scan events, every item appears in the correct room's cart within 3 seconds, with zero misassignments.","Almost complete, simulated scans","As a fitting-room attendant, I want items scanned into a digital cart quickly so that customer wait times are not worsened."
"FR-04a

Added July 1st, 2026",Data Capture at Try-On,Functional,"The system shall let a shopper rate item attributes (fit, material, colour) for a tried-on item.",1,5,Retailer interviews confirm 3+ rejection signals per visit are currently lost; shopper form shows ease-of-use is the top-ranked attribute.,"Attribute ratings for fit, material, and colour are captured for one item in under 1 minute, confirmed in usability testing with 5 users.",Survey MVP built,"As a shopper, I want to rate item attributes (fit, material, colour) in a few taps so that I can give feedback without disrupting my try-on."
"FR-04b

Added July 1st, 2026",Data Capture at Try-On,Functional,The system shall capture the shopper's purchase intent for each tried-on item.,1,3,Retailer interviews confirm 3+ rejection signals per visit are currently lost; shopper form shows ease-of-use is the top-ranked attribute.,Purchase intent is recorded alongside attribute ratings for every rated item in the same session.,Survey MVP built,"As a shopper, I want to rate item attributes (fit, material, colour) in a few taps so that I can give feedback without disrupting my try-on."
